target_id,abundance
BGIOSGA026446-TA,301.0
BGIOSGA012877-TA,216.427
BGIOSGA008836-TA,9.0
BGIOSGA012290-TA,27.0
BGIOSGA005787-TA,3.0
BGIOSGA036100-TA,2.0
BGIOSGA034059-TA,1.0
BGIOSGA013003-TA,67.3418
BGIOSGA006589-TA,1.0
BGIOSGA027897-TA,40.0
BGIOSGA005256-TA,71.0
BGIOSGA009580-TA,56.0
BGIOSGA009265-TA,1.0
BGIOSGA023292-TA,203.0
BGIOSGA008730-TA,1.0
BGIOSGA018636-TA,66.0
BGIOSGA009503-TA,90.0
BGIOSGA036749-TA,52.9736
BGIOSGA020377-TA,343.0
BGIOSGA018376-TA,239.0
BGIOSGA006807-TA,8.0
BGIOSGA031292-TA,2.0
BGIOSGA026615-TA,20.0
BGIOSGA016838-TA,33.0
BGIOSGA024120-TA,13.0
BGIOSGA029853-TA,75.0
BGIOSGA027759-TA,16.0
BGIOSGA006345-TA,2.0
BGIOSGA012625-TA,6.0
BGIOSGA018123-TA,59.0
BGIOSGA000553-TA,142.0
BGIOSGA007308-TA,36.0
BGIOSGA002497-TA,1.0
BGIOSGA031001-TA,58.0
BGIOSGA020039-TA,128.0
BGIOSGA036220-TA,27.0
BGIOSGA001659-TA,1.072
BGIOSGA004694-TA,11.0
BGIOSGA006607-TA,14.0
BGIOSGA020893-TA,8.0
BGIOSGA036234-TA,25.0
BGIOSGA005512-TA,1.0
BGIOSGA022575-TA,1.0
BGIOSGA030618-TA,52.0
BGIOSGA033804-TA,11.0
BGIOSGA004263-TA,26.0
BGIOSGA032259-TA,21.7109
BGIOSGA010096-TA,30.0
BGIOSGA026523-TA,115.0
BGIOSGA027917-TA,736.0
BGIOSGA022367-TA,7.0
BGIOSGA005853-TA,179.0
BGIOSGA021894-TA,90.0
BGIOSGA029768-TA,58.0
BGIOSGA028917-TA,6.0
BGIOSGA005085-TA,85.313
BGIOSGA021402-TA,15.0
BGIOSGA019700-TA,12.0
BGIOSGA022461-TA,51.0
BGIOSGA018959-TA,371.0
BGIOSGA002926-TA,68.0
BGIOSGA001236-TA,3.0
BGIOSGA000513-TA,91.0
BGIOSGA008657-TA,28.0
BGIOSGA032060-TA,93.3131
BGIOSGA028511-TA,25.0
BGIOSGA019055-TA,119.0
BGIOSGA004390-TA,484.853
BGIOSGA034859-TA,12.0
BGIOSGA019829-TA,95.0
BGIOSGA007235-TA,61.0
BGIOSGA019736-TA,2.32185
BGIOSGA003221-TA,8.0
BGIOSGA010303-TA,9.0
BGIOSGA026132-TA,9.0
BGIOSGA006435-TA,82.0
BGIOSGA005961-TA,8.0
BGIOSGA037065-TA,71.219
BGIOSGA003870-TA,7.0
BGIOSGA012559-TA,1.0
BGIOSGA000724-TA,3.0
BGIOSGA003756-TA,17.0
BGIOSGA011394-TA,3.0
BGIOSGA011115-TA,4.0
BGIOSGA036922-TA,2.0
BGIOSGA000526-TA,176.0
BGIOSGA005386-TA,117.0
BGIOSGA030107-TA,22.0
BGIOSGA019302-TA,132.0
BGIOSGA007636-TA,129.0
BGIOSGA003964-TA,9.0
BGIOSGA004247-TA,48.0
BGIOSGA019306-TA,34.0
BGIOSGA014101-TA,2.0
BGIOSGA010698-TA,115.0
BGIOSGA011707-TA,104.102
BGIOSGA011714-TA,59.0
BGIOSGA030471-TA,3.0
BGIOSGA020950-TA,11.0
BGIOSGA026115-TA,2.0
BGIOSGA006838-TA,2.0
BGIOSGA009829-TA,78.0
BGIOSGA037587-TA,2.0
BGIOSGA033107-TA,14.0
BGIOSGA001947-TA,3.0
BGIOSGA008576-TA,20.0
BGIOSGA004139-TA,321.0
BGIOSGA005298-TA,20.0
BGIOSGA004740-TA,39.0
BGIOSGA009892-TA,117.0
BGIOSGA000124-TA,6.0
BGIOSGA001942-TA,1.10299
BGIOSGA009552-TA,99.0
BGIOSGA021199-TA,9.0
BGIOSGA002618-TA,21.0
